category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45),0.45,"(0.01, 1000.0)",10,80,100,0.48003678806113137
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.461),0.46111111111111114,"(0.01, 1000.0)",10,80,100,0.5280713091960627
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.472),0.47222222222222227,"(0.01, 1000.0)",10,80,100,0.5439020898579181
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.483),0.48333333333333334,"(0.01, 1000.0)",10,80,100,0.5220100708079571
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.494),0.49444444444444446,"(0.01, 1000.0)",10,80,100,0.5278239065898067
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.506),0.5055555555555555,"(0.01, 1000.0)",10,80,100,0.537708895275952
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.517),0.5166666666666667,"(0.01, 1000.0)",10,80,100,0.5488158607863621
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.528),0.5277777777777778,"(0.01, 1000.0)",10,80,100,0.5343058715448179
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.539),0.538888888888889,"(0.01, 1000.0)",10,80,100,0.514719934237948
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.55),0.55,"(0.01, 1000.0)",10,80,100,0.5523402212766171
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.7),0.7,"(0.01, 1000.0)",10,80,100,0.532097956922985
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.711),0.711111111111111,"(0.01, 1000.0)",10,80,100,0.5519891604705784
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.722),0.7222222222222222,"(0.01, 1000.0)",10,80,100,0.5440713417827029
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.733),0.7333333333333333,"(0.01, 1000.0)",10,80,100,0.5362019662150257
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.744),0.7444444444444445,"(0.01, 1000.0)",10,80,100,0.5401868681184716
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.756),0.7555555555555555,"(0.01, 1000.0)",10,80,100,0.5445412978736106
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.767),0.7666666666666667,"(0.01, 1000.0)",10,80,100,0.5394760505883494
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.778),0.7777777777777778,"(0.01, 1000.0)",10,80,100,0.5517369517058294
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.789),0.788888888888889,"(0.01, 1000.0)",10,80,100,0.5416097938927242
