experiment,category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.76),2.7602796113413137,"(0.01, 1000.0)",10,80,100,0.5635222023115654
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.51),2.507038813656279,"(0.01, 1000.0)",10,80,100,0.5337165452605679
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.47),2.4742687907557217,"(0.01, 1000.0)",10,80,100,0.5489614420553026
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.94),2.9361999739480247,"(0.01, 1000.0)",10,80,100,0.5283697583584003
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.65),2.648824880354664,"(0.01, 1000.0)",10,80,100,0.5344300885630899
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.41),2.412796167109773,"(0.01, 1000.0)",10,80,100,0.5526588906310574
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.99),2.9916734137633383,"(0.01, 1000.0)",10,80,100,0.5503690594715509
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.47),2.4733615637389113,"(0.01, 1000.0)",10,80,100,0.5485406059990521
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.62),2.6198239887021892,"(0.01, 1000.0)",10,80,100,0.5242808318628994
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.41),2.411799338367982,"(0.01, 1000.0)",10,80,100,0.5605198240938523
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.41),2.4147216568162726,"(0.01, 1000.0)",10,80,100,0.5320978421020564
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.98),2.9768573931242686,"(0.01, 1000.0)",10,80,100,0.5519891745018656
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.81),2.814386782454191,"(0.01, 1000.0)",10,80,100,0.5440711891091994
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.76),2.7643750947758345,"(0.01, 1000.0)",10,80,100,0.5362017242590282
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.78),2.780443847802924,"(0.01, 1000.0)",10,80,100,0.5401868832042537
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.62),2.618044793233393,"(0.01, 1000.0)",10,80,100,0.5445414171042621
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.6),2.6048498643944984,"(0.01, 1000.0)",10,80,100,0.5394760369539029
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.42),2.4194144638143564,"(0.01, 1000.0)",10,80,100,0.5517369385722448
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.74),2.7413908980529387,"(0.01, 1000.0)",10,80,100,0.541609830847074
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.88),2.875693431199554,"(0.01, 1000.0)",10,80,100,0.5341648418884971
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.84),3.8418577839399957,"(0.01, 1000.0)",10,80,100,0.5396870144289574
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.99),3.988453323710999,"(0.01, 1000.0)",10,80,100,0.5526126040150044
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.84),3.8417432570619594,"(0.01, 1000.0)",10,80,100,0.5424731577178122
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.87),3.8656647536458233,"(0.01, 1000.0)",10,80,100,0.5508497400618562
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.99),3.989868736902037,"(0.01, 1000.0)",10,80,100,0.5554851486957115
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.82),3.8186277219214193,"(0.01, 1000.0)",10,80,100,0.5067504310631961
3.9,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.81),3.8099328995078805,"(0.01, 1000.0)",10,80,100,0.525463562452511
