experiment,category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,20,100,-14.42578134
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=2)",0.644444444,2,10,80,100,-2.748307268
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.57)",0.644444444,1.571428571,10,80,100,-1.498974954
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,10,100,0.242149766
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,10,100,0.266287873
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,10,100,0.289639552
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,10,100,0.291049065
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,10,100,0.294032319
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,10,100,0.294963173
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,10,100,0.300615367
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,10,100,0.301983893
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,20,100,0.304103934
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,40,100,0.308054081
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,20,100,0.309881968
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,20,100,0.313314448
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,20,100,0.317003661
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,10,100,0.317205859
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,10,100,0.323830624
