category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,10,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,10,100,0.266287873
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,10,100,0.289639552
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,10,100,0.291049065
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,10,100,0.294963173
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,10,100,0.317205859
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,10,100,0.325172483
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,10,100,0.327402298
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,10,100,0.331377749
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,10,100,0.354014913
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,20,100,-14.42578134
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,20,100,0.304103934
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,20,100,0.309881968
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,20,100,0.317003661
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,20,100,0.327754466
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,20,100,0.335550356
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,20,100,0.357035972
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,20,100,0.359116419
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,20,100,0.360022724
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,20,100,0.360786032
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,10,100,-14.42578135
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,10,100,0.294032319
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,10,100,0.300615367
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,10,100,0.323830624
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,10,100,0.324153279
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,10,100,0.337429801
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,10,100,0.34033867
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,10,100,0.341952216
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,10,100,0.349678976
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,10,100,0.373787988
Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,20,100,-14.42578135
