experiment,category,learner,query_strategy,kernel,length_scale,alpha,n_learners,n_initial,n_queries,r2
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=2, length_scale=7.62)",7.625,2,10,80,100,0.448024304
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=2, length_scale=5.25)",5.25,2,10,80,100,0.461983572
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=0.5, length_scale=2.88)",2.875,0.5,10,80,100,0.462693149
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=0.5, length_scale=5.25)",5.25,0.5,10,80,100,0.471977137
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1.5, length_scale=10)",10,1.5,10,80,100,0.472237869
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=2, length_scale=0.5)",0.5,2,10,80,100,0.473818692
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=2, length_scale=10)",10,2,10,80,100,0.476443071
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1, length_scale=0.5)",0.5,1,10,80,100,0.479593621
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1, length_scale=2.88)",2.875,1,10,80,100,0.479775973
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1, length_scale=5.25)",5.25,1,10,80,100,0.480701194
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1.5, length_scale=7.62)",7.625,1.5,10,80,100,0.483377691
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1.5, length_scale=5.25)",5.25,1.5,10,80,100,0.489555113
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=2, length_scale=2.88)",2.875,2,10,80,100,0.493926217
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=0.5, length_scale=10)",10,0.5,10,80,100,0.49480817
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=0.5, length_scale=7.62)",7.625,0.5,10,80,100,0.498052246
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1, length_scale=10)",10,1,10,80,100,0.501397278
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=0.5, length_scale=0.5)",0.5,0.5,10,80,100,0.510049714
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1.5, length_scale=2.88)",2.875,1.5,10,80,100,0.510189391
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1, length_scale=7.62)",7.625,1,10,80,100,0.511791275
3_3,Committee,Gaussian Process,max_std_sampling,"RationalQuadratic(alpha=1.5, length_scale=0.5)",0.5,1.5,10,80,100,0.519878891
