experiment,category,learner,query_strategy,n_estimators,max_depth,n_learners,n_initial,n_queries,r2
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,1,1,80,1,0.101424375
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,2,1,80,1,-0.04377036
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,3,1,80,1,-0.062323902
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,4,1,80,1,-0.003967792
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,5,1,80,1,-0.135684452
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,6,1,80,1,-0.484750858
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,7,1,80,1,-0.171509604
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,8,1,80,1,-0.078221779
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,9,1,80,1,-0.586181012
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,10,1,80,1,-0.111620776
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,11,1,80,1,-0.498956244
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,12,1,80,1,-0.401272109
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,13,1,80,1,-0.394233092
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,14,1,80,1,-0.211226515
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,15,1,80,1,-0.072204874
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,16,1,80,1,-0.195277797
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,17,1,80,1,-0.563574461
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,18,1,80,1,-0.883854512
4_1,Single Learner,Random Forest Regressor,GP_regression_std,1,19,1,80,1,-0.504148196
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,1,1,80,1,0.181944127
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,2,1,80,1,0.271778284
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,3,1,80,1,0.147412434
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,4,1,80,1,0.161358188
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,5,1,80,1,0.28689851
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,6,1,80,1,0.17171745
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,7,1,80,1,0.078821976
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,8,1,80,1,0.107683909
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,9,1,80,1,-0.004060845
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,10,1,80,1,0.260317309
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,11,1,80,1,0.199946422
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,12,1,80,1,0.221873867
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,13,1,80,1,0.14024954
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,14,1,80,1,0.051195418
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,15,1,80,1,-0.036898016
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,16,1,80,1,0.07265609
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,17,1,80,1,0.095363499
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,18,1,80,1,0.223553653
4_1,Single Learner,Random Forest Regressor,GP_regression_std,6,19,1,80,1,0.020438765
4_1,Single Learner,Random Forest Regressor,GP_regression_std,11,1,1,80,1,0.193930846
