category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2,notes
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1e-10),1.00E-10,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1e-05),1.00E-05,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45),0.45,"(1e-05, 100000.0)",20,20,100,-12.71878595,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7,"(1e-05, 100000.0)",20,20,100,0.436104801,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.01),0.01,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.1),0.1,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.1),0.1,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5),5,"(1e-05, 100000.0)",20,20,100,0.472310446,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.644),0.644444444,"(1e-05, 100000.0)",20,20,100,0.488866925,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1.73),1.733333333,"(1e-05, 100000.0)",20,20,100,0.498335561,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1.19),1.188888889,"(1e-05, 100000.0)",20,20,100,0.508684351,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.28),2.277777778,"(1e-05, 100000.0)",20,20,100,0.516524226,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2.82),2.822222222,"(1e-05, 100000.0)",20,20,100,0.511879994,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.37),3.366666667,"(1e-05, 100000.0)",20,20,100,0.501434122,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.2),0.2,"(1e-05, 100000.0)",10,80,100,-14.42578135,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.3),0.3,"(1e-05, 100000.0)",10,80,100,-11.39209365,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,-11.37697756,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,-11.32784149,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,-11.31676163,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,0.486296567,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,0.494220787,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,0.516376533,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45),0.45,"(0.01, 1000.0)",10,80,100,0.544915354,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.5),0.5,"(1e-05, 100000.0)",10,80,100,0.563673717,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.505),0.505380724,"(0.01, 1000.0)",10,80,100,0.528992656,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.569),0.569230769,"(1e-05, 100000.0)",10,80,100,0.400397759,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.569),0.569230769,"(1e-05, 100000.0)",10,80,100,0.530814784,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.91),3.911111111,"(1e-05, 100000.0)",20,20,100,0.511270553,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.46),4.455555556,"(1e-05, 100000.0)",20,20,100,0.505970795,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5),5,"(1e-05, 100000.0)",20,20,100,0.520189182,
