category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.1),0.1,"(1e-05, 100000.0)",10,80,100,-14.42578134563042
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.2),0.2,"(1e-05, 100000.0)",10,80,100,-14.425781345627952
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.3),0.30000000000000004,"(1e-05, 100000.0)",10,80,100,-11.39209364787561
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.4),0.4,"(1e-05, 100000.0)",10,80,100,-11.327841488569861
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.5),0.5,"(1e-05, 100000.0)",10,80,100,0.5636737167874222
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.6),0.6,"(1e-05, 100000.0)",10,80,100,0.5440712330371111
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.7),0.7000000000000001,"(1e-05, 100000.0)",10,80,100,0.536201782826575
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.8),0.8,"(1e-05, 100000.0)",10,80,100,0.5401864012287052
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.9),0.9,"(1e-05, 100000.0)",10,80,100,0.5445415321469056
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1),1.0,"(1e-05, 100000.0)",10,80,100,0.5394760401439309
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=1),1.0,"(1e-05, 100000.0)",10,80,100,0.5517369439390749
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=2),2.0,"(1e-05, 100000.0)",10,80,100,0.5416098446223885
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3),3.0,"(1e-05, 100000.0)",10,80,100,0.5341649569583247
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4),4.0,"(1e-05, 100000.0)",10,80,100,0.5396869501269663
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5),5.0,"(1e-05, 100000.0)",10,80,100,0.5526126290249793
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=6),6.0,"(1e-05, 100000.0)",10,80,100,0.5220125789494838
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=7),7.0,"(1e-05, 100000.0)",10,80,100,-1.6570303717419668
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=8),8.0,"(1e-05, 100000.0)",10,80,100,0.35636391896742237
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=9),9.0,"(1e-05, 100000.0)",10,80,100,-14.42578134563042
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=10),10.0,"(1e-05, 100000.0)",10,80,100,-14.42578134563042
